[22:22:13] [I] C:\Users\yiz\Desktop\body\body000
[22:22:15] [I] C:\Users\yiz\Desktop\body\body000
[22:59:10] [I] parser C:\Users\yiz\Desktop\body\body000
[22:59:10] [I] parser C:\Users\yiz\Desktop\body\body000
[22:59:10] [I] parser C:\Users\yiz\Desktop\body\body000
[22:59:10] [I] parser C:\Users\yiz\Desktop\body\body000
[22:59:29] [I] parser C:\Users\yiz\Desktop\body\body000\00001.png
[22:59:29] [I] parser C:\Users\yiz\Desktop\body\body000\00002.png
[22:59:29] [I] parser C:\Users\yiz\Desktop\body\body000\00003.png
[22:59:29] [I] parser C:\Users\yiz\Desktop\body\body000\00004.png
[23:37:03] [I] parser C:\Users\yiz\Desktop\body\body000\00001.png
[23:37:03] [I] parser C:\Users\yiz\Desktop\body\body000\00002.png
[23:37:03] [I] parser C:\Users\yiz\Desktop\body\body000\00003.png
[23:37:03] [I] parser C:\Users\yiz\Desktop\body\body000\00004.png
[23:39:11] [I] parser C:\Users\yiz\Desktop\body\body000\00001.png
[23:39:11] [I] parser C:\Users\yiz\Desktop\body\body000\00002.png
[23:39:11] [I] parser C:\Users\yiz\Desktop\body\body000\00003.png
[23:39:11] [I] parser C:\Users\yiz\Desktop\body\body000\00004.png
[23:40:29] [I] parser C:\Users\yiz\Desktop\body\body000\00001.png
[23:40:29] [I] parser C:\Users\yiz\Desktop\body\body000\00002.png
[23:40:29] [I] parser C:\Users\yiz\Desktop\body\body000\00003.png
[23:40:29] [I] parser C:\Users\yiz\Desktop\body\body000\00004.png
[23:40:29] [I] parser C:\Users\yiz\Desktop\body\body000\00008.png
[23:40:29] [I] parser C:\Users\yiz\Desktop\body\body000\00009.png
[23:40:29] [I] parser C:\Users\yiz\Desktop\body\body000\00010.png
[23:40:29] [I] parser C:\Users\yiz\Desktop\body\body000\00011.png
[23:40:29] [I] parser C:\Users\yiz\Desktop\body\body000\00012.png
[23:40:29] [I] parser C:\Users\yiz\Desktop\body\body000\00013.png
[23:40:29] [I] parser C:\Users\yiz\Desktop\body\body000\00014.png
[23:40:29] [I] parser C:\Users\yiz\Desktop\body\body000\00015.png
[23:40:29] [I] parser C:\Users\yiz\Desktop\body\body000\00016.png
[23:40:29] [I] parser C:\Users\yiz\Desktop\body\body000\00017.png
[23:40:56] [I] parser C:\Users\yiz\Desktop\body\body000\00008.png
[23:40:56] [I] parser C:\Users\yiz\Desktop\body\body000\00009.png
[23:40:56] [I] parser C:\Users\yiz\Desktop\body\body000\00010.png
[23:40:56] [I] parser C:\Users\yiz\Desktop\body\body000\00011.png
[23:40:56] [I] parser C:\Users\yiz\Desktop\body\body000\00012.png
[23:40:56] [I] parser C:\Users\yiz\Desktop\body\body000\00013.png
[23:40:56] [I] parser C:\Users\yiz\Desktop\body\body000\00014.png
[23:40:56] [I] parser C:\Users\yiz\Desktop\body\body000\00015.png
[23:40:56] [I] parser C:\Users\yiz\Desktop\body\body000\00016.png
[23:40:56] [I] parser C:\Users\yiz\Desktop\body\body000\00017.png
[23:44:57] [I] parser C:\Users\yiz\Desktop\body\body000\00008.png
[23:44:57] [I] parser C:\Users\yiz\Desktop\body\body000\00009.png
[23:44:57] [I] parser C:\Users\yiz\Desktop\body\body000\00010.png
[23:44:57] [I] parser C:\Users\yiz\Desktop\body\body000\00011.png
[23:44:57] [I] parser C:\Users\yiz\Desktop\body\body000\00012.png
[23:44:57] [I] parser C:\Users\yiz\Desktop\body\body000\00013.png
[23:44:57] [I] parser C:\Users\yiz\Desktop\body\body000\00014.png
[23:44:57] [I] parser C:\Users\yiz\Desktop\body\body000\00015.png
[23:44:57] [I] parser C:\Users\yiz\Desktop\body\body000\00016.png
[23:44:57] [I] parser C:\Users\yiz\Desktop\body\body000\00017.png
[23:45:16] [I] parser C:\Users\yiz\Desktop\body\body000\00008.png
[23:45:16] [I] parser C:\Users\yiz\Desktop\body\body000\00009.png
[23:45:16] [I] parser C:\Users\yiz\Desktop\body\body000\00010.png
[23:45:16] [I] parser C:\Users\yiz\Desktop\body\body000\00011.png
[23:45:16] [I] parser C:\Users\yiz\Desktop\body\body000\00012.png
[23:45:16] [I] parser C:\Users\yiz\Desktop\body\body000\00013.png
[23:45:16] [I] parser C:\Users\yiz\Desktop\body\body000\00014.png
[23:45:16] [I] parser C:\Users\yiz\Desktop\body\body000\00015.png
[23:45:16] [I] parser C:\Users\yiz\Desktop\body\body000\00016.png
[23:45:16] [I] parser C:\Users\yiz\Desktop\body\body000\00017.png
[23:50:06] [I] parser C:\Users\yiz\Desktop\body\body000\00008.png
[23:50:06] [I] parser C:\Users\yiz\Desktop\body\body000\00009.png
[23:50:06] [I] parser C:\Users\yiz\Desktop\body\body000\00010.png
[23:50:07] [I] parser C:\Users\yiz\Desktop\body\body000\00011.png
[23:50:07] [I] parser C:\Users\yiz\Desktop\body\body000\00012.png
[23:50:07] [I] parser C:\Users\yiz\Desktop\body\body000\00013.png
[23:50:07] [I] parser C:\Users\yiz\Desktop\body\body000\00014.png
[23:50:07] [I] parser C:\Users\yiz\Desktop\body\body000\00015.png
[23:50:07] [I] parser C:\Users\yiz\Desktop\body\body000\00016.png
[23:50:07] [I] parser C:\Users\yiz\Desktop\body\body000\00017.png
[23:50:07] [I] parser C:\Users\yiz\Desktop\body\body000\00026.png
[23:50:07] [I] parser C:\Users\yiz\Desktop\body\body000\00027.png
[23:50:07] [I] parser C:\Users\yiz\Desktop\body\body000\00028.png
[23:50:07] [I] parser C:\Users\yiz\Desktop\body\body000\00029.png
[23:50:07] [I] parser C:\Users\yiz\Desktop\body\body000\00030.png
[23:50:07] [I] parser C:\Users\yiz\Desktop\body\body000\00032.png
[23:50:07] [I] parser C:\Users\yiz\Desktop\body\body000\00033.png
[23:50:07] [I] parser C:\Users\yiz\Desktop\body\body000\00034.png
[23:50:07] [I] parser C:\Users\yiz\Desktop\body\body000\00035.png
[23:50:07] [I] parser C:\Users\yiz\Desktop\body\body000\00036.png
[23:50:07] [I] parser C:\Users\yiz\Desktop\body\body000\00037.png
[23:50:07] [I] parser C:\Users\yiz\Desktop\body\body000\00038.png
[23:50:07] [I] parser C:\Users\yiz\Desktop\body\body000\00039.png
[23:51:10] [I] parser C:\Users\yiz\Desktop\body\body000\00008.png
[23:51:10] [I] parser C:\Users\yiz\Desktop\body\body000\00009.png
[23:51:10] [I] parser C:\Users\yiz\Desktop\body\body000\00010.png
[23:51:10] [I] parser C:\Users\yiz\Desktop\body\body000\00011.png
[23:51:10] [I] parser C:\Users\yiz\Desktop\body\body000\00012.png
[23:51:10] [I] parser C:\Users\yiz\Desktop\body\body000\00013.png
[23:51:10] [I] parser C:\Users\yiz\Desktop\body\body000\00014.png
[23:51:10] [I] parser C:\Users\yiz\Desktop\body\body000\00015.png
[23:51:10] [I] parser C:\Users\yiz\Desktop\body\body000\00016.png
[23:51:10] [I] parser C:\Users\yiz\Desktop\body\body000\00017.png
[23:51:10] [I] parser C:\Users\yiz\Desktop\body\body000\00026.png
[23:51:10] [I] parser C:\Users\yiz\Desktop\body\body000\00027.png
[23:51:10] [I] parser C:\Users\yiz\Desktop\body\body000\00028.png
[23:51:10] [I] parser C:\Users\yiz\Desktop\body\body000\00029.png
[23:51:10] [I] parser C:\Users\yiz\Desktop\body\body000\00030.png
[23:51:10] [I] parser C:\Users\yiz\Desktop\body\body000\00032.png
